id,score,score_factor
0,4,good
1,3,good
2,3,good
3,1,good
4,1,good
5,4,good
6,1,good
7,8,very good
8,5,very good
9,1,good
10,4,good
11,-3,bad
12,-7,very bad
13,16,very good
14,-3,bad
15,10,very good
16,7,very good
17,1,good
18,1,good
19,4,good
20,-1,bad
21,4,good
22,3,good
23,7,very good
24,1,good
25,4,good
26,1,good
27,1,good
28,8,very good
29,1,good
30,1,good
31,1,good
32,3,good
33,3,good
34,3,good
35,4,good
36,1,good
37,1,good
38,3,good
39,4,good
40,-1,bad
41,3,good
42,3,good
43,1,good
44,1,good
45,1,good
46,1,good
47,1,good
48,3,good
49,5,very good
50,4,good
51,5,very good
52,4,good
53,4,good
54,6,very good
55,12,very good
56,16,very good
57,1,good
58,3,good
59,1,good
60,6,very good
61,3,good
62,1,good
63,1,good
64,1,good
65,1,good
66,1,good
67,1,good
68,1,good
69,1,good
70,3,good
71,3,good
72,3,good
73,3,good
74,3,good
75,4,good
76,18,very good
77,6,very good
78,3,good
79,1,good
80,6,very good
81,1,good
82,1,good
83,28,very good
84,16,very good
85,4,good
86,1,good
87,1,good
88,1,good
89,4,good
90,1,good
91,4,good
92,4,good
93,4,good
94,4,good
95,3,good
96,15,very good
97,1,good
98,-2,bad
99,6,very good
100,8,very good
101,3,good
102,-3,bad
103,4,good
104,1,good
105,5,very good
106,3,good
107,3,good
108,1,good
109,4,good
110,5,very good
111,1,good
112,1,good
113,1,good
114,2,good
115,4,good
116,1,good
117,6,very good
118,1,good
119,1,good
120,-3,bad
121,1,good
122,3,good
123,4,good
124,24,very good
125,5,very good
126,16,very good
127,3,good
128,-1,bad
129,3,good
130,4,good
131,-4,bad
132,3,good
133,1,good
134,3,good
135,1,good
136,-4,bad
137,1,good
138,-3,bad
139,3,good
140,3,good
141,1,good
142,-1,bad
143,-1,bad
144,-2,bad
145,-4,bad
146,-2,bad
147,1,good
148,3,good
149,-1,bad
150,1,good
151,-5,bad
152,1,good
153,-3,bad
154,1,good
155,3,good
156,1,good
157,2,good
158,6,very good
159,1,good
160,1,good
161,-3,bad
162,1,good
163,-3,bad
164,4,good
165,1,good
166,1,good
167,4,good
168,-3,bad
169,11,very good
170,4,good
171,3,good
172,3,good
173,1,good
174,1,good
175,1,good
176,-1,bad
177,1,good
178,-1,bad
179,-1,bad
180,1,good
181,3,good
182,5,very good
183,1,good
184,14,very good
185,-1,bad
186,-3,bad
187,-40,very bad
188,8,very good
189,7,very good
190,7,very good
191,1,good
192,-5,bad
193,-2,bad
194,2,good
195,1,good
196,1,good
197,1,good
198,1,good
199,1,good
200,-1,bad
201,1,good
202,-1,bad
203,2,good
204,1,good
205,1,good
206,1,good
207,-3,bad
208,3,good
209,4,good
210,-3,bad
211,3,good
212,-1,bad
213,1,good
214,1,good
215,1,good
216,1,good
217,1,good
218,9,very good
219,1,good
220,-30,very bad
221,4,good
222,1,good
223,-6,very bad
224,-1,bad
225,1,good
226,1,good
227,3,good
228,2,good
229,2,good
230,5,very good
231,-4,bad
232,1,good
233,6,very good
234,3,good
235,15,very good
236,-1,bad
237,-1,bad
238,1,good
239,-5,bad
240,-5,bad
241,3,good
242,1,good
243,-4,bad
244,-4,bad
245,1,good
246,1,good
247,3,good
248,3,good
249,3,good
250,1,good
251,1,good
252,1,good
253,3,good
254,1,good
255,1,good
256,2,good
257,1,good
258,1,good
259,5,very good
260,1,good
261,-1,bad
262,1,good
263,1,good
264,-1,bad
265,66,very good
266,66,very good
267,-6,very bad
268,7,very good
269,1,good
270,1,good
271,4,good
272,1,good
273,1,good
274,-15,very bad
275,-3,bad
276,-3,bad
277,-3,bad
278,7,very good
279,7,very good
280,8,very good
281,4,good
282,1,good
283,1,good
284,1,good
285,12,very good
286,1,good
